text,label
"The device gets overheated after long use",0
"The report lacks important details",0
"The new system is difficult to learn at first",0
"This policy does not help the people who need it",0
"I felt uncomfortable with the way the issue was handled",0
"The teacher was strict but fair during the exam",0
"The class was not very engaging today",0
"The product did not meet my expectations",0
"The changes in rules were not explained clearly",0
"The team failed to follow the instructions",0
"The shop staff was rude but later apologized",0
"The traffic jam made everyone late",0
"Our plan needs a few small corrections",0
"There were too many errors in the document",0
"The event started late and ended in a rush",0
"The laptop is slow when running heavy software",0
"The room was noisy and hard to concentrate in",0
"People are frustrated with rising prices",0
"The internet keeps disconnecting during meetings",0
"The manager did not respond to emails on time",0
"The service quality has gone down recently",0
"The weather ruined our outdoor plans",0
"The new feature is helpful but still confusing",0
"The team struggled to complete the task",0
"This book was interesting but too lengthy",0
"The website takes too long to load",0
"The update removed some useful options",0
"The instructions were not clear enough",0
"The customer care line was busy for too long",0
"The classroom was overcrowded and uncomfortable",0
"He did not prepare well for his presentation",0
"The organization of the competition was poor",0
"The travel experience was tiring and stressful",0
"The new rules make the process slower",0
"The cinema seats were uncomfortable",0
"The speaker’s voice was hard to hear",0
"The policy needs more feedback from citizens",0
"The road was full of potholes",0
"The exam questions were unclear",0
"The deadline felt too short for the work needed",0
"The delivery got delayed by two days",0
"The mobile app logs out too frequently",0
"The festival arrangements felt chaotic",0
"The instructions on the form were confusing",0
"The school needs better facilities",0
"The shop did not have enough staff during rush hour",0
"The result announcement was delayed",0
"The bus service is not punctual",0
"The train compartment was not clean",0
"The air conditioning did not work properly",0
"The canteen food was not fresh",0
"The security check took too long",0
"The ticket booking website kept showing errors",0
"I did not like the way the issue was handled",0
"The project feedback was harsh but helpful",0
"The new time table is very inconvenient",0
"The meeting agenda was not followed properly",0
"The furniture in the hall was old and damaged",0
"The event lacked proper coordination",0
"The team communication could have been better",0
"The sound system failed in the middle of the event",0
"The email announcement came too late",0
"The festival crowd was difficult to manage",0
"The cafeteria menu needs more healthy options",0
"The building maintenance is not done regularly",0
"The class timing clashes with other important work",0
"The library has limited seating space",0
"The online portal goes down during peak hours",0
"The air quality in the room felt poor",0
"The lights were flickering during the session",0
"The program was informative but very long",0
"i will like to have breakfast in the morning",0
"nonsense",1
